map type;agents;timesteps;id;algorithm;SoC LB;SoC;rerouted;ok;TO;total time;max. time;gain over RS
../instances/IntersectionType10;70;100;1.in;RS;1101;1284;0;success;47;58;13;1
../instances/IntersectionType10;70;100;2.in;RS;1226;1400;0;success;50;25;4;1
../instances/IntersectionType10;70;100;3.in;RS;1016;1160;0;success;52;18;5;1
../instances/IntersectionType10;70;100;4.in;RS;1180;1364;0;success;46;14;4;1
../instances/IntersectionType10;60;100;0.in;subID;860;996;4;success;0;10084;1211;0.99497992
../instances/IntersectionType10;60;100;1.in;subID;929;1067;9;success;0;12680;1138;1.025304592
../instances/IntersectionType10;60;100;2.in;subID;905;1049;7;success;0;11878;1052;1.001906578
../instances/IntersectionType10;60;100;3.in;subID;1028;1173;4;success;5;160703;30446;1.00511509
../instances/IntersectionType10;60;100;4.in;subID;872;1016;4;success;0;10774;1003;1.011811024
../instances/IntersectionType10;62;100;0.in;subID;905;1045;0;success;0;9755;950;1.002870813
../instances/IntersectionType10;62;100;1.in;subID;987;1130;5;success;0;12300;1291;1.00619469
../instances/IntersectionType10;62;100;2.in;subID;930;1064;7;success;0;10875;1321;1.018796992
../instances/IntersectionType10;62;100;3.in;subID;1071;1229;6;success;0;13816;1408;0.994304312
../instances/IntersectionType10;62;100;4.in;subID;992;1129;5;success;0;10366;804;1.018600531
../instances/IntersectionType10;64;100;0.in;subID;921;1056;1;success;1;39058;30589;1.005681818
../instances/IntersectionType10;64;100;1.in;subID;1026;1184;8;success;2;75180;31502;1.002533784
../instances/IntersectionType10;64;100;2.in;subID;988;1132;4;success;0;9806;642;1.008833922
../instances/IntersectionType10;64;100;3.in;subID;1062;1208;3;success;0;11010;1437;1.024006623
../instances/IntersectionType10;64;100;4.in;subID;1022;1170;6;success;2;71617;31620;1.003418803
../instances/IntersectionType10;66;100;0.in;subID;963;1114;4;success;0;10600;688;1.000897666
../instances/IntersectionType10;66;100;1.in;subID;1040;1193;5;success;0;12460;1086;1.005867561
../instances/IntersectionType10;66;100;2.in;subID;975;1125;5;success;0;12707;1094;1.020444444
../instances/IntersectionType10;66;100;3.in;subID;1058;1207;5;success;0;11341;1559;1.005799503
../instances/IntersectionType10;66;100;4.in;subID;1047;1193;6;success;0;11404;1010;1.005029338
../instances/IntersectionType10;68;100;0.in;subID;1166;1327;10;success;0;14234;1383;1.01507159
../instances/IntersectionType10;68;100;1.in;subID;1056;1208;7;success;0;13192;995;1.008278146
../instances/IntersectionType10;68;100;2.in;subID;1212;1362;4;success;0;12953;1690;1
../instances/IntersectionType10;68;100;3.in;subID;968;1113;5;success;0;10593;967;1.008086253
../instances/IntersectionType10;68;100;4.in;subID;1115;1268;6;success;0;12493;1109;1.001577287
../instances/IntersectionType10;70;100;0.in;subID;1198;1359;11;success;0;18365;2428;1.011773363
../instances/IntersectionType10;70;100;1.in;subID;1101;1261;9;success;0;14560;2084;1.018239492
../instances/IntersectionType10;70;100;2.in;subID;1226;1388;4;success;0;12791;1021;1.008645533
../instances/IntersectionType10;70;100;3.in;subID;1016;1164;0;success;0;8328;352;0.996563574
../instances/IntersectionType10;70;100;4.in;subID;1180;1354;5;success;3;104921;32063;1.007385524
