map type;agents;timesteps;id;algorithm;SoC LB;SoC;rerouted;ok;TO;total time;max. time;gain over RS
../instances/IntersectionType13;12;30;2.in;ID;119;159;1;success;3;113383;30857;1
../instances/IntersectionType13;12;30;3.in;ID;122;160;0;success;3;107681;30831;1.15
../instances/IntersectionType13;12;30;4.in;ID;122;151;2;success;0;15150;5509;1
../instances/IntersectionType13;15;30;0.in;ID;149;206;3;success;4;130054;30383;1.038834951
../instances/IntersectionType13;15;30;1.in;ID;150;213;2;success;4;139906;30876;1.018779343
../instances/IntersectionType13;15;30;2.in;ID;152;198;5;success;4;128648;30873;1.065656566
../instances/IntersectionType13;15;30;3.in;ID;149;196;2;success;2;132451;30684;1.234693878
../instances/IntersectionType13;15;30;4.in;ID;151;196;3;success;1;94605;30611;1.132653061
../instances/IntersectionType13;17;30;0.in;ID;173;243;3;success;5;178032;30904;1.082304527
../instances/IntersectionType13;17;30;1.in;ID;173;260;5;success;4;197750;30783;0.988461538
../instances/IntersectionType13;17;30;2.in;ID;172;221;1;success;2;99222;30786;1.095022624
../instances/IntersectionType13;17;30;3.in;ID;173;275;1;success;8;273704;30806;1.014545455
../instances/IntersectionType13;17;30;4.in;ID;172;242;1;success;6;203820;30988;1.020661157
../instances/IntersectionType13;20;30;0.in;ID;204;281;1;success;6;193715;30852;1.06405694
../instances/IntersectionType13;20;30;1.in;ID;206;279;0;success;8;245016;30639;1
../instances/IntersectionType13;20;30;2.in;ID;202;332;1;success;10;323003;30879;1.012048193
../instances/IntersectionType13;20;30;3.in;ID;200;262;6;success;3;210273;30294;1.152671756
../instances/IntersectionType13;20;30;4.in;ID;207;362;1;success;13;402532;30984;0.914364641
../instances/IntersectionType13;22;30;0.in;ID;224;311;5;success;8;323526;30813;1.144694534
../instances/IntersectionType13;22;30;1.in;ID;228;332;0;success;11;336772;30570;1.042168675
../instances/IntersectionType13;22;30;2.in;ID;222;394;0;success;12;362262;30382;1
../instances/IntersectionType13;22;30;3.in;ID;220;319;3;success;7;242447;31006;1.053291536
../instances/IntersectionType13;22;30;4.in;ID;223;321;4;success;8;321007;30908;1.15576324
../instances/IntersectionType13;25;30;0.in;ID;255;492;1;success;13;394905;30673;1.046747967
../instances/IntersectionType13;25;30;1.in;ID;251;393;4;success;10;341823;30972;1.083969466
../instances/IntersectionType13;25;30;2.in;ID;253;352;3;success;6;212640;30813;0.997159091
../instances/IntersectionType13;25;30;3.in;ID;260;432;1;success;10;319257;30987;1.05787037
../instances/IntersectionType13;25;30;4.in;ID;243;373;3;success;6;238718;30997;1.002680965
../instances/IntersectionType10;10;30;0.in;RA;54;89;1;success;0;8708;4946;1.011235955
../instances/IntersectionType10;10;30;1.in;RA;54;101;4;success;0;15013;5797;1.158415842
../instances/IntersectionType10;10;30;2.in;RA;51;93;3;success;0;3809;952;1.075268817
../instances/IntersectionType10;10;30;3.in;RA;53;94;5;success;0;24253;22896;1.042553191
../instances/IntersectionType10;10;30;4.in;RA;55;100;5;success;0;8666;1922;1.12
../instances/IntersectionType10;12;30;0.in;RA;65;112;10;success;0;19287;5680;1.294642857
../instances/IntersectionType10;12;30;1.in;RA;65;117;1;success;0;6960;1683;0.931623932
../instances/IntersectionType10;12;30;2.in;RA;63;117;2;success;0;44482;16310;1.256410256
../instances/IntersectionType10;12;30;3.in;RA;64;113;4;success;0;37858;20255;1.504424779
../instances/IntersectionType10;12;30;4.in;RA;62;93;0;success;0;1823;286;1
../instances/IntersectionType10;15;30;0.in;RA;82;138;5;success;0;10398;5206;1.420289855
../instances/IntersectionType10;15;30;1.in;RA;77;134;4;success;0;7392;2631;1.134328358
../instances/IntersectionType10;15;30;2.in;RA;81;147;7;success;0;68223;28482;1.340136054
../instances/IntersectionType10;15;30;3.in;RA;78;150;13;success;0;32956;6666;1.14
../instances/IntersectionType10;15;30;4.in;RA;82;181;12;success;3;199274;30038;1.348066298
../instances/IntersectionType10;17;30;0.in;RA;94;185;10;success;1;76039;30047;1.335135135
../instances/IntersectionType10;17;30;1.in;RA;88;189;25;success;0;113663;25934;1.407407407
../instances/IntersectionType10;17;30;2.in;RA;91;197;15;success;3;127889;30037;1.441624365
../instances/IntersectionType10;17;30;3.in;RA;91;240;4;success;3;94289;30045;1.170833333
../instances/IntersectionType10;17;30;4.in;RA;91;196;18;success;2;147855;30039;1.443877551
../instances/IntersectionType10;20;30;0.in;RA;108;242;16;success;2;104212;30034;1.128099174
../instances/IntersectionType10;20;30;1.in;RA;105;380;2;success;7;211307;30045;0.826315789
../instances/IntersectionType10;20;30;2.in;RA;107;223;20;success;2;147262;30032;1.484304933
../instances/IntersectionType10;20;30;3.in;RA;108;329;8;success;9;341689;30043;1.303951368
../instances/IntersectionType10;20;30;4.in;RA;111;266;10;success;7;309505;30042;1.248120301
../instances/IntersectionType10;22;30;0.in;RA;119;368;8;success;10;317153;30041;1.100543478
../instances/IntersectionType10;22;30;1.in;RA;114;396;3;success;12;375187;30047;1
../instances/IntersectionType10;22;30;2.in;RA;116;259;10;success;3;116373;30027;1.378378378
../instances/IntersectionType10;22;30;3.in;RA;118;383;3;success;9;278122;30046;1.080939948
../instances/IntersectionType10;22;30;4.in;RA;127;402;8;success;13;413256;30034;1.271144279
../instances/IntersectionType10;25;30;0.in;RA;134;411;7;success;12;390362;30039;1.111922141
../instances/IntersectionType10;25;30;1.in;RA;132;585;1;success;14;420966;30040;1.003418803
../instances/IntersectionType10;25;30;2.in;RA;133;516;5;success;8;247503;30040;1.180232558
../instances/IntersectionType10;25;30;3.in;RA;138;382;6;success;12;410854;30040;1.426701571
../instances/IntersectionType10;25;30;4.in;RA;137;437;6;success;9;310603;30049;1.155606407
../instances/IntersectionType11;10;30;0.in;RA;54;89;2;success;0;14615;8485;1.011235955
../instances/IntersectionType11;10;30;1.in;RA;54;101;4;success;0;13772;6046;1.158415842
../instances/IntersectionType11;10;30;2.in;RA;51;86;2;success;0;2885;768;1.162790698
../instances/IntersectionType11;10;30;3.in;RA;53;94;5;success;0;28551;27003;1.042553191
../instances/IntersectionType11;10;30;4.in;RA;55;108;11;success;0;14797;6714;1.037037037
../instances/IntersectionType11;12;30;0.in;RA;65;122;9;success;0;36999;12540;1.18852459
../instances/IntersectionType11;12;30;1.in;RA;65;117;2;success;0;7735;1777;0.931623932
../instances/IntersectionType11;12;30;2.in;RA;63;114;3;success;0;40819;17053;1.201754386
../instances/IntersectionType11;12;30;3.in;RA;64;113;5;success;1;51410;30022;1.451327434
../instances/IntersectionType11;12;30;4.in;RA;62;93;0;success;0;1913;339;1
../instances/IntersectionType11;15;30;0.in;RA;82;138;9;success;0;11591;6457;1.420289855
../instances/IntersectionType11;15;30;1.in;RA;77;134;5;success;0;10388;4811;1.134328358
../instances/IntersectionType11;15;30;2.in;RA;81;146;4;success;2;71579;30023;1.226027397
../instances/IntersectionType11;15;30;3.in;RA;78;150;10;success;0;52978;16240;1.14
../instances/IntersectionType11;15;30;4.in;RA;82;180;7;success;4;206753;30036;1.288888889
../instances/IntersectionType11;17;30;0.in;RA;94;185;10;success;1;94661;30020;1.221621622
../instances/IntersectionType11;17;30;1.in;RA;88;183;25;success;1;143192;30030;1.453551913
../instances/IntersectionType11;17;30;2.in;RA;91;197;13;success;3;137555;30039;1.38071066
../instances/IntersectionType11;17;30;3.in;RA;91;252;3;success;3;99399;30027;1.115079365
../instances/IntersectionType11;17;30;4.in;RA;91;197;14;success;4;193453;30040;1.350253807
../instances/IntersectionType11;20;30;0.in;RA;108;237;13;success;2;115765;30040;1.151898734
../instances/IntersectionType11;20;30;1.in;RA;105;252;6;success;5;183307;30031;1.246031746
../instances/IntersectionType11;20;30;2.in;RA;107;216;24;success;1;150592;30027;1.532407407
../instances/IntersectionType11;20;30;3.in;RA;108;326;7;success;10;340093;30044;1.22392638
../instances/IntersectionType11;20;30;4.in;RA;111;248;13;success;6;238769;30028;1.338709677
../instances/IntersectionType11;22;30;0.in;RA;119;353;10;success;10;314264;30045;1.147308782
../instances/IntersectionType11;22;30;1.in;RA;114;357;5;success;12;368460;30045;1.047619048
../instances/IntersectionType11;22;30;2.in;RA;116;256;10;success;3;123921;30030;1.3828125
../instances/IntersectionType11;22;30;3.in;RA;118;329;2;success;9;276179;30044;1.161094225
../instances/IntersectionType11;22;30;4.in;RA;127;402;9;success;13;405387;30047;1.271144279
../instances/IntersectionType11;25;30;0.in;RA;134;383;17;success;9;357184;30035;1.193211488
../instances/IntersectionType11;25;30;1.in;RA;132;474;6;success;13;415206;30042;1.246835443
../instances/IntersectionType11;25;30;2.in;RA;133;497;3;success;8;246393;30037;1.201207243
